keyword,video_id,comment_id,author,author_channel_url,text,like_count,published_at,updated_at,extracted_at
pfizer,vj7fntANj8k,UgzTE4FDCDNq5r3B5KJ4AaABAg,@zorojesi9414,http://www.youtube.com/@zorojesi9414,Ce prostie doar informati total false .,1,2026-05-12T12:22:41Z,2026-05-12T12:22:41Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgzUnoW-R36drYVi3J14AaABAg,@ionelfatu2515,http://www.youtube.com/@ionelfatu2515,Astia nu stiu 2 plus 2 inmultit cu 2...astia lucreaza la ministerul opiniilor si parerilor.,0,2026-05-13T06:31:05Z,2026-05-13T06:31:05Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgwAPv8kqRebjiEuBMl4AaABAg,@danielapetronelabompa6377,http://www.youtube.com/@danielapetronelabompa6377,"M,am vaccinat de doua ori pentru virusul corona...nu am Miocardita,nu am Hantavirus( purtatorii sunt soarecii si sobolanii,orice aliment,cu care au venit ei in contact,transmite mai departe virusul,mai ales  daca acel aliment este consumat de om)...informatia ta e gresita...eu sunt pentru vaccinare,ne salveaza viata,ajuta sistemul imunitar...au existat miocardite si virus hanta si la inceputul anului 1900...virusul corona a fost descoperit la microscop in 1936...asa ca incetati cu presupusurile...",4,2026-05-12T13:12:13Z,2026-05-12T13:12:13Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,Ugxa1ib1V3lc_SJBcp94AaABAg,@walk-4-you,http://www.youtube.com/@walk-4-you,"Tu te odihnesti suficient!?... 
Mare e gradina ta !",0,2026-05-13T07:38:23Z,2026-05-13T07:38:23Z,2026-05-13T10:50:56.977248+00:00
pfizer,2XqdVlIx3i4,UgxhbGwduHGSqH_2yvp4AaABAg,@kerstin638,http://www.youtube.com/@kerstin638,Von Anfang an hab ich den Mist nicht geglaubt.,26,2026-05-12T13:05:14Z,2026-05-12T13:05:14Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgzUKSDXlSgIyi8UzXV4AaABAg,@ACC-d4l,http://www.youtube.com/@ACC-d4l,Es wurde der erste Versuch der Unterdrückung gestartet..... Die WHO und ihre Geldgeber wollen die absolute Herrschaft......,17,2026-05-12T16:45:04Z,2026-05-12T16:45:04Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgzqMo1EB98MI4oR0qJ4AaABAg,@renateknz,http://www.youtube.com/@renateknz,LOGISCH  DASS  ES  SO  WAR.  NUR  ZU  WEING  BÜRGER   D.H.   W I R  HABEN  DIESES  VERBRECHEN  VIEL  ZU  SPÄT  BEGRIFEN.  😮😮😮😮😢😢😢😢😢😢,14,2026-05-12T11:07:51Z,2026-05-12T11:08:32Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,Ugz8BW64r72aPg13rJF4AaABAg,@Behoedhetdenkvermogen,http://www.youtube.com/@Behoedhetdenkvermogen,📜 die Bibel warnt fur alles und alles ist vorhergesagt:,7,2026-05-12T11:25:52Z,2026-05-12T11:25:52Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgwhM4wF_2_erYwMDhx4AaABAg,@DorfBewohner-g2m,http://www.youtube.com/@DorfBewohner-g2m,"Eine große Masse an Menschen hat dies vorhergesagt, diese wurden verspottet",2,2026-05-12T19:04:21Z,2026-05-12T19:04:21Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgwrfzSCN1V2c91CFAh4AaABAg,@katrinmuller8533,http://www.youtube.com/@katrinmuller8533,Das neue BUCH von Helmut Sterz u Prof.  BHAKDI  zu mRNA IMPFUNGEN sollten ALLE lesen.  Das grösste organisierte VERBRECHEN gegen die Menschheit,17,2026-05-12T13:17:10Z,2026-05-12T13:17:10Z,2026-05-13T10:50:57.452564+00:00
